//UNIVERSAL LOADSCREEN TIPS		(25+ games played)
"dota_tip_hero_skeleton_king_1"		"Wraith King's Reincarnate will trigger even if Wraith King is affected by Break. It will not trigger if Wraith King has insufficient mana; a talent can reduce this cost to 0."
"dota_tip_hero_death_prophet_1"		"The damage from Death Prophet's Exorcism spirits is physical damage and can be mitigated by armor."
"dota_tip_hero_phantom_assassin_1"	"An Aeon Disk or Blade Mail can be a good item to build facing a Phantom Assassin with high burst damage."
"dota_tip_hero_pugna_1"				"Pugna's Nether Blast ability deals half damage to structures."
"dota_tip_hero_templar_assassin_1"	"Templar Assassin's Refraction ability blocks a number of damage instances, regardless of the amount of damage those instances would cause."
"dota_tip_hero_viper_1"				"Viper's Nethertoxin causes Break on affected targets, which disables passive abilities. This can be very effective against heroes like Bristleback."
"dota_tip_hero_luna_1"				"Luna's Eclipse ability will continue for the full duration, even if Luna is silenced or stunned. Eclipse will stop if Luna is killed."

"dota_tip_hero_dragon_knight_1"		"Dragon Knight's Elder Dragon Form Corrosive Breath affects structures in addition to units, making it an effective siege ability."
"dota_tip_hero_dragon_knight_2" 	"Dragon Knight's Breathe Fire damage reduction is very effective tool when trading attacks with an opponent or mitigating an enemy's ability to last-hit creeps in lane."
"dota_tip_hero_dragon_knight_3" 	"A lot of Dragon Knight's survivability comes from his Dragon Blood passive ability that grants him bonus health regeneration and armor, which makes him vulnerable to the Break effect from things like Viper's Nethertoxin or a Silver Edge."
"dota_tip_hero_dragon_knight_4"		"During Dragon Form, Dragon Knight becomes a ranged hero, allowing him to benefit from items like Hurricane Pike, but losing the bonuses granted by melee items like the Echo Sabre."
"dota_tip_hero_dragon_knight_5"		"Dragon Knight relies on being able to get close to his targets to be effective. Abilities and items that slow him, like  Shivas Guard Rod of Atos or are very effective at keeping him at a distance."
"dota_tip_hero_dragon_knight_6"		"Dragon Knight's high armor makes him very resilient against physical damage, but can be mitigated with armor-reducing items like Assault Cuirass or Medallion of Courage."

"dota_tip_hero_dazzle_1"			"Dazzle's Shallow Grave ability prevents the target from dying for the duration from any amount of damage from any source - however instant death abilities can still kill a unit during Shallow Grave."
"dota_tip_hero_rattletrap_1"		"Clockwerk's Battery Assault ability will continue, even if Clockwerk is silenced or stunned. Battery Assault will end if Clockwerk is killed."
"dota_tip_hero_rattletrap_2"			"Clockwerk's Hookshot stuns opponents for a substantial amount of time, giving him time to reposition and strategically place his Power Cogs, pushing the enemy in the desired direction and disabling them further."
"dota_tip_hero_rattletrap_3"			"A Force Staff is effective at getting an allied hero out of Clockwerk's Power Cogs"
"dota_tip_hero_rattletrap_4"			"Hookshot will pull Clockwerk to any unit, enemy or ally, which can be an effective way to escape."
"dota_tip_hero_rattletrap_5"			"Clockwerk's Battery Assault is extremely effective at shutting down enemies with Channeling spells or long cast times."
"dota_tip_hero_rattletrap_6"			"Clockwerk's Rocket Flare is very useful for scouting enemy movements, and pushing out enemy creeps that are far away from the team."
"dota_tip_hero_rattletrap_7"			"A Black King Bar will prevent most of the damage done by Clockwerk's abilities. However, his Hookshot will still stun a magic immune target."

"dota_tip_hero_leshrac_1"			"Leshrac's Diabolic Edict does additional damage to structures, making it an effective siege ability."
"dota_tip_hero_furion_1"			"Nature's Prophet's Sprout trees can be cut down with Quelling Blade or consumed with a Tango."
"dota_tip_hero_life_stealer_1" 		"Life Stealer's Open Wounds ability causes allies of Lifestealer to gain Lifesteal against the victim with any attack, including spells."
"dota_tip_hero_dark_seer_1"			"Dark Seer's Ion Shell will do damage to nearby units even if they are invisible."
"dota_tip_hero_clinkz_1"			"Clinkz's Searing Arrows ability causes extra physical damage on his attacks."
"dota_tip_hero_omniknight_1"		"Omniknight's Purification ability causes pure damage, which cannot be mitigated with magic resistance."
"dota_tip_hero_enchantress_1"		"Enchantress' Untouchable debuff can be mitigated by having spell immunity, or briefly attacking a different target during the attack backswing."
"dota_tip_hero_huskar_1"			"Huskar's Burning Spears deal extra magical damage, or pure damage if a talent is chosen. Burning Spears does not affect buildings."
"dota_tip_hero_night_stalker_1"		"Night Stalker's nighttime bonuses also apply during Luna's Eclipse."
"dota_tip_hero_broodmother_1"		"Broodmother's Spiderlings can in turn spawn Spiderites from units they damage which are then killed."
"dota_tip_hero_bounty_hunter_1"		"Allies will only get the bonus gold from Bounty Hunter's Track if they are within 900 of the victim when it dies. Bounty Hunter himself has no range restriction for bonus gold from Track."
"dota_tip_hero_weaver_1"			"Weaver's Swarm Beetles apply physical damage that ignores evasion, but is mitigated by armor or block effects."
"dota_tip_hero_jakiro_1"			"Jakiro's Liquid Fire affects buildings, making it an effective siege ability."
"dota_tip_hero_batrider_1"			"Batrider's Sticky Napalm deals extra magical damage to the victim when Batrider attacks. Sticky Napalm does not trigger when other units attack the target."
"dota_tip_hero_chen_1"				"Chen's Penitence ability causes the target to take additional damage from physical, magical and pure damage types."
"dota_tip_hero_spectre_1"			"Spectre's Dispersion ability reflects damage back to attackers, of the same type as the damage inflicted. It reflects more damage to units which are closer to Spectre."
"dota_tip_hero_ancient_apparition_1" "Ancient Apparition's Ice Blast prevents healing effects to units affected. If a victim's health drops below a critical threshold, the victim is killed."

"dota_tip_hero_doom_bringer_1" 		"Doom's Doom ability causes pure damage, which cannot be mitigated by armor or magic resistance."
"dota_tip_hero_doom_bringer_2" 		"Devour will grant Doom not only the target unit's active ability, but their passive abilities and auras as well, making Doom indespensible in team fights."
"dota_tip_hero_doom_bringer_3" 		"A Linken's Sphere is a great way to block Doom's Doom. Doom can counter this by devouring a neutral creep with a targeted ability, such as the Satyr Banisher, or building an active item, such as a Heaven's Halberd."
"dota_tip_hero_doom_bringer_4" 		"Scorched Earth provides Doom with a substantial bonus to Health Regeneration, making items like the Spirit Vessel a very efficient counter."
"dota_tip_hero_doom_bringer_5" 		"A hero that has been Doomed can be killed by their allies when their health gets low. This will deny Doom gold and experience for the kill."
"dota_tip_hero_doom_bringer_6" 		"Upgrading Doom with an Aghanim's Scepter will apply a Break effect on the target, making it very efficient against enemies with powerful passive abilities, like Phantom Assassin or Spirit Breaker."

"dota_tip_hero_ursa_1"				"Ursa's Fury Swipes ability causes extra physical damage when attacking a target repeatedly. Fury Swipes does not work on structures, though it does affect Roshan."
"dota_tip_hero_spirit_breaker_1"	"Spirit Breaker's Charge of Darkness ability can be used to trigger an enemy's Linken's Sphere at any range, so long as Spirit Breaker has vision of the target."
"dota_tip_hero_gyrocopter_1"		"Gyrocopter's Homing Missile can track invisible targets, but do not grant true sight."

"dota_tip_hero_alchemist_1"			"Gold Alchemist earns through Grevil's Greed is unreliable."
"dota_tip_hero_alchemist_2"			"Acid Spray deals physical damage and reduces armor, making it an effective tool for killing Ancient neutrals or Roshan"
"dota_tip_hero_alchemist_3"			"If timed correctly, Alchemist's Unstable Concoction stun can be dodged by using Manta Style or Eul's Scepter - even by Alchemist himself."
"dota_tip_hero_alchemist_4"			"If Alchemist is silenced or does not have an enemy hero to target by the time Unstable Concoction reaches it's full potential, Alchemist himself will be stunned, leaving him vulnerable to enemies."
"dota_tip_hero_alchemist_5"			"The Bounty Rune bonus from Alchemist's Greevils Greed is only applied to Alchemist himself. It does not matter who picks up the rune itself." 
"dota_tip_hero_alchemist_6"			"Alchemist's Chemical Rage Gives him a massive Health Regen bonus, that can be mitigated by Spirit Vessel or Ancient Apparition's Ice Blast."
"dota_tip_hero_alchemist_7"			"Alchemist's Aghanim's Scepter Synth will grant the targeted ally stats from the Scepter, even if the hero gains no other ability bonuses from it."

"dota_tip_hero_invoker_1"			"Invoker's Sun Strike deals pure damage, which cannot be mitigated with magic resistance or spell immunity."
"dota_tip_hero_silencer_1"			"Silencer's Glaives of Wisdom deals pure damage, which cannot be mitigated with magic resistance but does not pierce spell immunity, unless Silencer has an Aghanim's Scepter."
"dota_tip_hero_obsidian_destroyer_1" "Outworld Devourer's Arcane Orb deals pure damage, which cannot be mitigated with magic resistance, but does not pierce spell immunity."
"dota_tip_hero_lycan_1"				"Lycan's Howl ability has global range, affecting all allies regardless of distance. It is more effective at night."

"dota_tip_hero_brewmaster_1"		"When Brewmaster's Primal Split ends Brewmaster will try to reappear at the position of the Earth spirit if alive, then Storm spirit if alive, and finally at the position of the Fire spirit."
"dota_tip_hero_brewmaster_2"		"A Monkey King Bar or Bloodthorn can be an effective way to counter Brewmaster's Drunken Haze and Drunken Brawler evasion."
"dota_tip_hero_brewmaster_3"		"Brewmaster's body starts fuming when he's guaranteed a critical strike and dodge from Drunken Brawler."
"dota_tip_hero_brewmaster_4"		"After Primal Split, any aura that Brewmaster has, for example Radience or Vladmir's Aura, affects affects units around Earth, if Earth is dead, around Storm and if Storm is dead, around Fire."
"dota_tip_hero_brewmaster_5"		"Brewmaster's Primal Split has a substantial cast time that can be effectively countered with stuns or silences."
"dota_tip_hero_brewmaster_6"		"Brewmaster's Storm Spirit can use Dispel Magic to cancel his own Cyclone."

"dota_tip_hero_shadow_demon_1" 		"Shadow Demon's Soul Catcher increases all damage the victim will take from all sources. Soul Catcher can be cast on targets Banished by Disruption."

"dota_tip_hero_lone_druid_1"		"Lone Druid's Spirit Bear does additional damage to structures, making it very effective at sieging."
"dota_tip_hero_lone_druid_2"		"Lone Druid's Spirit Bear can pick up runes. Lone Druid does not need to be nearby for this."

"dota_tip_hero_chaos_knight_1" 		"When Chaos Knight casts Phantasm, he disjoints projectiles and is briefly invulnerable and spell immune."
"dota_tip_hero_chaos_knight_2"		"Chaos Knight's Chaos Bolt has a substantial cast time as well as a slow projectile, and can be disjointed with a well-timed Blink or Eul's Scepter."
"dota_tip_hero_chaos_knight_3"		"Activating Armlet of Mordiggian before using Phantasm gives Chaos Knight's copies bonus damage and health."
"dota_tip_hero_chaos_knight_4"		"Chaos Knight's Phantasm copies are susceptible to any abilities that instantly destroy illusions, such as Lion's Mana Drain or Shadow Shaman's Hex."
"dota_tip_hero_chaos_knight_5"		"Chaos Knight's Reality Rift has a substantial cast time and can still be dodged after he started casting the spell."		
"dota_tip_hero_chaos_knight_6"		"Most of Chaos Knight's damage output is physical, and can be dealt with using item that grant armor or Ghost Scepter."
"dota_tip_hero_chaos_knight_7"		"Chaos Knight's Reality Rift will bring in all of his illusions, including the ones from Manta Style and Illusion Rune."

"dota_tip_hero_meepo_1"				"Meepo gains XP or gold when any of his clones gain XP or gold. Meepo dies whenever any of his clones die."
"dota_tip_hero_treant_1"			"Casting spells or using items does not break the invisibility of Treant Protector's Nature's Guise."
"dota_tip_hero_ogre_magi_1"			"Ogre Magi's Bloodlust can be cast on towers."
"dota_tip_hero_undying_1"			"Undying's Tombstone does not spawn zombies for nearby invisible units, and existing zombies will expire if the unit they are tracking becomes invisible."
"dota_tip_hero_rubick_1"			"When Rubick casts a stolen spell he can do so with zero casting time, even if the spell normally has a cast time (with very few exceptions)."
"dota_tip_hero_disruptor_1"			"Disruptor's Thunder Strike pulses every two seconds. Glimpse moves the target back in time four seconds. You can use Thunder Strike to perfectly time a Glimpse."
"dota_tip_hero_nyx_assassin_1" 		"Nyx Assassin's Spiked Carapace will reflect damage no matter how far away the attacker is, and even if the attacker is invisible."
"dota_tip_hero_naga_siren_1"		"Naga Siren is briefly invulnerable and spell immune during the casting of Mirror Image and will disjoint projectiles."
"dota_tip_hero_keeper_of_the_light_1" "It is possible to use a Town Portal Scroll while Mana Leaked by Keeper of the Light. If you teleport even a short distance away, Mana Leak will not drain mana for the teleport."
"dota_tip_hero_wisp_1"				"While Io is tethered to an ally, it moves at the same speed as that ally."
"dota_tip_hero_visage_1"			"Visage's Gravekeeper's Cloak ability decreases in effectiveness as players damage Visage but will quickly regenerate. Gravekeeper's Cloak also affects Visage's familiars."
"dota_tip_hero_slark_1"				"While Slark is under the effect of Shadow Dance, he cannot be revealed by True Sight."
"dota_tip_hero_medusa_1"			"Medusa's Mystic Snakes increase their damage and mana steal with each successive bounce. The mana stolen is a percentage of the target's current mana."
"dota_tip_hero_troll_warlord_1"		"Troll Warlord's Fervor gains stacks even when the attack is evaded or disjointed."

"dota_tip_hero_centaur_1"			"Centaur Warrunner's Return reflects incoming damage back as physical damage. It also reflects damage from tower attacks."
"dota_tip_hero_centaur_2"			"Centaur's Double Edge deals magic damage that can be mitigated by spell resistance by it's targets as well as Centaur himself."
"dota_tip_hero_centaur_3"			"Centaur's Stampede is global and can be used to help allies attack or retreat even if Centaur is far away."
"dota_tip_hero_centaur_4"			"Rod of Atos or Eul's Scepter is a good way of stopping Centaur's Allies from getting away during Stampede."
"dota_tip_hero_centaur_5"			"Centaur has a considerable Health pool, so any abilities that deal damage based on an opponent's health, such as Lifestealer's Feast or Necrophos' Heartstopper Aura are very effective."
"dota_tip_hero_centaur_6"			"Magic Immunity, such as a Black King Bar is very effective at avoiding a lot of Centaur's burst damage, coming from Stampede, Double Edge and Hoof Stomp."

"dota_tip_hero_magnataur_1"			"Magnus' Empower ability grants the target Cleave, which causes physical damage which ignores armor in an area around each attack."
"dota_tip_hero_shredder_1"			"When Timbersaw is affected by Break, he will not gain additional stacks of Reactive armor, but existing stacks will continue to provide armor and health regen."

"dota_tip_hero_bristleback_1"		"When Bristleback is affects by Break, his Bristleback ability is disabled, substantially reducing his survivability."
"dota_tip_hero_bristleback_2"		"Bristleback's Viscous Nasal Goo that has been upgraded with Aghanim's Scepter will not be blocked by Linken's Sphere."
"dota_tip_hero_bristleback_3"		"Bristleback can cast Viscous Nasal Goo on enemies multiple times, heavily reducing their armor and attack speed, making it effective for attacking Roshan."
"dota_tip_hero_bristleback_4"		"Preventing Bristleback from constantly casting Quill Spray, for example with a Silence, will greatly reduce the amount of damage Bristleback can output."
"dota_tip_hero_bristleback_5"		"Bristleback's abilities do not have to hit enemy units to trigger his Warpath."
"dota_tip_hero_bristleback_6"		"Bristleback's Quill Spray damage is physical, and can be reduced with armor."
"dota_tip_hero_bristleback_7"		"Bristleback likes to cast spells a lot, so a Magic Stick or Magic Wand are very effective when used against him."

"dota_tip_hero_tusk_1"				"Tusk's Snowball does more damage when more heroes are inside it."
"dota_tip_hero_skywrath_mage_1"		"Skywrath Mage's Arcane Bolt does substantially more damage based on Skywrath's intelligence."

"dota_tip_hero_abaddon_1"			"Abaddon's Borrowed Time can still be activated manually when Abaddon is affected by Break."
"dota_tip_hero_abaddon_2"			"The area damage of Abaddon's Aphotic Shield is independent from the amount of absorbed damage."
"dota_tip_hero_abaddon_3"			"Abaddon can use his Aphotic Shield ability to remove most negative buffs and stuns from allied heroes."
"dota_tip_hero_abaddon_4"			"Abaddon's Curse of Avernus debuff is applied to buildings, making him very effective at sieging."
"dota_tip_hero_abaddon_5"			"Abaddon's Borrowed Time can be activated manually even while stunned or slept, removing most negative debuffs."
"dota_tip_hero_abaddon_6"			"If Abaddon receives more than Borrowed Time's passive threshold in damage, the Borrowed Time effect will not activate automatically."
"dota_tip_hero_abaddon_7"			"Preventing Abaddon from taking damage while Borrowed Time is active, for example with Eul's Scepter is an effective way of keeping him in place while waiting out the effect."

"dota_tip_hero_elder_titan_1"		"Elder Titan's Natural Order causes enemies to have armor reduced around Elder Titan, and magic resistance to be reduced around Elder Titan's Spirit."
"dota_tip_hero_legion_commander_1"	"While Legion Commander's Duel will pierce spell immunity from a Black King Bar, a Linken's Sphere will prevent a duel."
"dota_tip_hero_techies_1"			"Techies' Proximiy Mines are automatically revealed when an enemy units walks nearby. Stasis Traps and Remote Mines require True Sight to reveal."
"dota_tip_hero_ember_spirit_1" 		"Ember Spirit's Searing Chains can interrupt a channelling target, for example an enemy escaping with a Town Portal scroll."

"dota_tip_hero_earth_spirit_1" 		"Earth Spirit's Boulder Smash does not stun the unit directly targeted, only units hit by a Smashed remnant."
"dota_tip_hero_earth_spirit_2"		"Earth Spirit can use items and abilities during Rolling Boulder, allowing him to set up for future attacks."
"dota_tip_hero_earth_spirit_3"		"Getting in front of an Earth Spirit that used Rolling Boulder is an effective way of preventing him from escaping."
"dota_tip_hero_earth_spirit_4"		"With careful timing, Earth Spirit can use the same Stone Remnant to stun and silence an enemy, allowing him to conserve Remnants for future use."
"dota_tip_hero_earth_spirit_5"		"Using Boulder Smash on allies can be an effective way of getting them to safety or repositioning them to an adventageous position."
"dota_tip_hero_earth_spirit_6"		"Upgrading Geomagnetic Grip with his talent makes it easy for Earth Spirit to save his allies that are being attacked by enemies."
"dota_tip_hero_earth_spirit_7"		"Enchant Remnant makes the target temporarily invulnerable, allowing Earth Spirit to use it to save allies that are in danger."

"dota_tip_hero_abyssal_underlord_1"	"Underlord's Firestorm ability does a percentage of the victim's maximum hp as magical damage with each wave."
"dota_tip_hero_terrorblade_1"		"While Terrorblade's Sunder will pierce spell immunity from a Black King Bar, a Linken's Sphere will prevent the Sunder."
"dota_tip_hero_phoenix_1"			"Phoenix can use items and cast abilities during Icarus Dive."
"dota_tip_hero_oracle_1"			"During Oracle's False Promise, the overhead orb will be red if the target has taken lethal damage and is predicted to die when the effect expires."
"dota_tip_hero_winter_wyvern_1"		"Winter Wyvern's Splinter Blast shards will hit invisible units as well as units in the fog of war."
"dota_tip_hero_arc_warden_1"		"Arc Warden's Magnetic Field grants evasion to allies within the field to attacks that come from outside the field, including tower attacks."
"dota_tip_hero_monkey_king_1"		"Monkey King's Boundless Strike ignores evasion, and cannot miss."
"dota_tip_hero_pangolier_1"			"Pangolier's Swashbuckle ignores evasion, and cannot miss."
"dota_tip_hero_dark_willow_1"		"When Dark Willow is under the effect of Shadow Realm, she cannot be revealed by True Sight."
